"","can_off","can_off_sta","can_par_aff","can_inc_cha_ope_sea","ind_ite_con","ind_uni_con","ind_con","par_com_con","oth_com_con","can_con","tot_con","tra_fro_oth_aut_com","can_loa","oth_loa","tot_loa","oth_rec","ope_exp","tra_to_oth_aut_com","net_con","net_ope_exp","winner"
"132","H","TX","REP","INCUMBENT",673790,37319.93,711109.93,0,764231.4,0,1475341.33,0,0,0,0,1634.23,1568174.86,0,1455741.33,1533957.21,"Y"
"133","H","KY","REP","INCUMBENT",1168846.28,79044.06,1247890.34,200,1069673.9,0,2317764.24,4300.33,0,0,0,3559.55,1804776.32,0,2301014.24,1801575.26,"Y"
"134","H","TN","REP","INCUMBENT",623677.05,26487.5,650164.55,0,1014798.66,0,1664963.21,0,0,0,0,0,2434837.87,74200,1660713.21,2423018.72,"Y"
"135","H","IL","DEM","INCUMBENT",401065.11,15130,416195.11,150,545375,0,961720.11,0,0,0,0,142.73,495005,25000,959920.11,495004.5,"Y"
"136","H","MS","REP","INCUMBENT",351300,17650,368950,0,481880,0,850830,27000,0,0,0,0,1031629.29,0,848830,1031629.29,"Y"
"137","H","IN","REP","OPEN",825845.06,491905.12,1317750.18,0,275785,1124.63,1594659.81,0,0,0,0,0,1268380.07,0,1581125.05,1268380.07,"Y"
"138","H","MI","REP","OPEN",428573,70362.5,498935.5,5000,238839.5,94.97,742869.97,8793.17,353120,0,353120,5000,992990.65,0,742869.97,974243.16,"Y"
"139","H","FL","REP","OPEN",1098435.58,883797.01,1982232.59,0,266210,0,2248442.59,112398.95,0,0,0,0,1938966.72,8074.73,2229892.59,1938365.5,"Y"
"140","H","MI","REP","INCUMBENT",791995.73,8085,800080.73,0,372721.13,19732.24,1192534.1,0,0,0,0,0,750751.94,24500,1188044.1,723723.13,"Y"
"141","H","PA","REP","INCUMBENT",610395,64994.7,675389.7,0,444838.3,0,1120228,24398.39,0,0,0,173.51,1035565.62,56000,1116309.05,1034615.62,"Y"
"142","H","VA","DEM","INCUMBENT",129034.17,31082.88,160117.05,0,501400,0,661517.05,0,0,0,0,5,426252.69,0,661403.59,422472.69,"Y"
"143","H","MI","DEM","INCUMBENT",191745.11,40731.97,232477.08,0,997880,0,1230357.08,564.02,0,0,0,0,621308.21,0,1230057.08,608029.35,"Y"
"144","H","TN","REP","INCUMBENT",729583.81,88298.72,817882.53,0,1198403.96,0,2016286.49,0,0,0,0,19392.5,1262941.83,0,2011261.49,1262562.12,"Y"
"145","H","FL","DEM","CHALLENGER",643135.86,192944.15,836080.01,0,503341.45,1550,1340971.46,0,10790.44,0,10790.44,0,1155618.7,0,1333643.01,1155391.62,"Y"
"146","H","LA","DEM","INCUMBENT",378363.84,5696.23,384060.07,26.26,939488.28,0,1323574.61,0,0,0,0,0,625017.71,0,1320239.61,622731.05,"Y"
"147","H","IL","REP","INCUMBENT",268811.12,28209.61,297020.73,0,845745.42,0,1142766.15,7375.87,0,0,0,0,680226.28,0,1139766.15,679237.91,"Y"
"148","H","IA","DEM","INCUMBENT",505008.68,131210.41,636219.09,10000,897517.45,0,1543736.54,0,0,0,0,0,559455.18,0,1542986.54,542597.07,"Y"
"149","H","FL","DEM","INCUMBENT",1046052,31628.68,1077680.68,0,384700,0,1462380.68,0,0,0,0,0,1317728.57,0,1458880.68,1315472.86,"Y"
"150","H","SC","REP","INCUMBENT",522716.98,685913.47,1208630.45,0,289000,0,1497630.45,0,0,0,0,0,809824.03,0,1490630.45,802469.83,"Y"
"151","H","MI","DEM","INCUMBENT",142193.6,38295.58,180489.18,0,420746.27,0,601235.45,0,0,0,0,18.97,528600.15,0,599385.45,524673.96,"Y"
"152","H","SC","REP","INCUMBENT",179135.62,58525.19,237660.81,0,316300,0,553960.81,0,0,0,0,200,394703.05,0,547460.81,394520.05,"Y"
"153","H","NC","REP","CHALLENGER",285195,41625,326820,1000,106000,0,433820,0,50000,0,50000,0,420035.99,0,433520,420035.99,"Y"
"154","H","CA","REP","INCUMBENT",575553.06,301515.49,877068.55,0,118294.45,0,995363,0,0,0,0,0,722167.82,0,989463,721156.26,"Y"
"155","H","TN","REP","INCUMBENT",335604.06,46613,382217.06,0,6000,0,388217.06,0,0,0,0,0,229422.09,0,385217.06,228747.88,"Y"
"156","H","TX","REP","INCUMBENT",732259,27931,760190,0,622104.9,5,1382299.9,0,0,0,0,295.36,636116.28,0,1380764.9,635720.6,"Y"
"157","H","WA","DEM","INCUMBENT",168545.16,25606.97,194152.13,14.02,712998.5,0,907164.65,0,0,0,0,3.55,729029.14,0,906664.65,728688.85,"Y"
"158","H","MI","DEM","INCUMBENT",408122.29,0.14,408122.43,50,599912.54,0,1008084.97,0,0,0,0,0,398747.99,140000,1004984.97,398747.99,"Y"
"159","H","NY","DEM","INCUMBENT",294967.05,125089.19,420056.24,0,685291.44,0,1105347.68,0,0,0,0,3646.1,503149.6,35714.29,1104630.52,502944.3,"Y"
"160","H","FL","DEM","OPEN",601984.97,46705.91,648690.88,0,413928.66,4500,1067119.54,0,10000,0,10000,0,971728.89,0,1057719.54,971478.89,"Y"
"161","H","PA","REP","INCUMBENT",380628.47,135156.98,515785.45,0,647833.9,0,1163619.35,40704.77,0,0,0,16.93,666450.27,27800,1160869.36,665475.15,"Y"
"162","H","FL","DEM","INCUMBENT",241248.34,39962.79,281211.13,0,382750,0,663961.13,0,0,0,0,5637.36,500034.21,0,663061.13,497802.61,"Y"
"163","H","MI","REP","INCUMBENT",410539.1,28479.54,439018.64,2300,496805.42,0,938124.06,19921.83,0,0,0,270.83,618014.17,0,937624.06,616884.37,"Y"
"164","H","MD","DEM","INCUMBENT",923450.52,0,923450.52,0,0,0,923450.52,0,0,0,0,0,533375.46,0,921950.52,533199.04,"Y"
"165","H","CA","DEM","INCUMBENT",245044.24,42262.74,287306.98,8.67,280730,0,568045.65,0,0,0,0,0,290865.73,0,567045.65,287602.47,"Y"
"166","H","OH","REP","INCUMBENT",247841.43,19435,267276.43,0,612120.28,0,879396.71,0,0,0,0,0,618691.51,0,879396.71,618589.17,"Y"
"167","H","CO","DEM","INCUMBENT",470882.29,45455.26,516337.55,0,679789.3,0,1196126.85,0,0,0,0,73.67,773210.76,0,1195641.56,772980.76,"Y"
"168","H","NY","DEM","INCUMBENT",403399.2,46680.75,450079.95,175,291506.12,0,741761.07,0,0,0,0,3.99,343835.21,83500,741761.07,342672.77,"Y"
"169","H","FL","DEM","CHALLENGER",158025.98,31547.26,189573.24,0,52000,0,241573.24,0,1e+05,1000,101000,0,237804.03,0,239573.24,237502.38,"Y"
"170","H","TN","REP","OPEN",852110,24121,876231,0,119600,2700,998531,0,226000,0,226000,2.63,967665.09,0,995031,966978.39,"Y"
"171","H","IN","REP","INCUMBENT",790600.82,21687,812287.82,725,475021.69,0,1288034.51,0,0,0,0,7.7,756514.11,0,1286309.51,750018.61,"Y"
"172","H","FL","REP","INCUMBENT",561091.09,57975.98,619067.07,250,180969.8,0,800286.87,0,0,0,0,0,490700.16,0,785717.17,488663.05,"Y"
"173","H","TX","REP","INCUMBENT",247431,28336.81,275767.81,0,790576.23,0,1066344.04,0,0,0,0,54.31,1016532.81,0,1065344.04,1015714.11,"Y"
"174","H","CT","DEM","INCUMBENT",373116.52,90923.68,464040.2,0,1064271.16,0,1528311.36,0,0,0,0,1928.17,1003324.34,0,1521011.36,992428.81,"Y"
"175","H","MI","REP","INCUMBENT",728789,59656,788445,0,1934644,0,2723089,92384.24,0,0,0,713.45,1821854.41,0,2719739,1802224.46,"Y"
